# Regenerate with: python3 scripts/build-symbol-font.py
# Every character here is one the UI uses and the UI font lacks.
U+00A3	£
U+00A5	¥
U+00B5	µ
U+00B7	·
U+00C9	É
U+00D7	×
U+00DC	Ü
U+00DF	ß
U+00E9	é
U+00F1	ñ
U+0192	ƒ
U+03A3	Σ
U+200D	‍
U+2013	–
U+2014	—
U+2022	•
U+2026	…
U+20AC	€
U+2190	←
U+2191	↑
U+2192	→
U+2193	↓
U+2194	↔
U+2195	↕
U+2197	↗
U+21A9	↩
U+21B5	↵
U+2248	≈
U+2260	≠
U+2264	≤
U+2265	≥
U+2318	⌘
U+2325	⌥
U+2328	⌨
U+23F1	⏱
U+24D8	ⓘ
U+2500	─
U+25B2	▲
U+25B6	▶
U+25BC	▼
U+25BE	▾
U+25CB	○
U+25CF	●
U+2699	⚙
U+26A0	⚠
U+2713	✓
U+2715	✕
U+2717	✗
U+27F3	⟳
U+29C9	⧉
